Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
2015	9	34.4538	9.63485	378.1	120.2877388	390	0
2015	10	28.7264	0.0677	309.5	179.2720945	390	0
2015	11	25.1291	-2.22336	215.5	192.8761525	390	0
2015	12	25.85464	-2.70353	173.8	149.3069611	390	0
2016-2400	1	17.62393	-8.5072	188.4	52.04450362	390	0
2016-2400	2	26.78365	-6.31104	247.6	141.7134227	390	0
2016-2400	3	30.86404	-1.25742	354.9	24.40767762	390	0
2016-2400	4	32.0357	-1.6284	461.6	76.39413841	390	0
2016-2400	5	31.68536	7.33306	496.1	146.2865011	390	0
2016-2400	6	35.63833	13.98705	531.8	133.2448544	390	0
2016-2400	7	37.48382	20.78665	531.2	170.1722511	390	0
2016-2400	8	36.16494	17.8836	445.4	104.8331446	390	0
2016-2400	9	35.33907	15.1391	378.1	407.9683324	390	0
2016-2400	10	31.1317	4.02548	309.5	220.8669629	390	0
